"Dấu thời gian,""1. Chương trình học của bạn là gì ?"",""1. Bạn đã đạt được những chứng chỉ tiếng Anh nào?"",""2. Thang điểm tương ứng với chứng chỉ bạn đã đạt được?"",""3. Theo bạn, trình độ Speaking của bạn đang ở thang điểm bao nhiêu?"",""4. Theo bạn, trình độ Listening của bạn đang ở thang điểm bao nhiêu?"",""5. Theo bạn, trình độ Reading của bạn đang ở thang điểm bao nhiêu?"",""6. Theo bạn, trình độ Writing của bạn đang ở thang điểm bao nhiêu?"",""1. GPA của bạn hiện tại trong khoảng nào?"",""2. Bạn đã từng tham gia cuộc thi nào liên quan đến tiếng Anh chưa?"",""3. Bạn có nghĩ tiếng Anh ảnh hưởng đến năng lực học tập của bạn không?"",""4. Các bạn đang gặp phải những khó khăn gì trong việc tiếp thu những môn học được giảng dạy bằng tiếng Anh?"""
"2023/10/02 2:26:19 CH GMT+7,""MAS"",""Chưa có chứng chỉ tiếng anh"",""Không có chứng chỉ"",""3"",""5"",""4"",""4"",""2,5 đến 3"",""Chưa từng tham gia"",""Có ảnh hưởng"",""Đôi khi khó giao tiếp với giáo viên """
"2023/10/02 2:38:38 CH GMT+7,""MAS"",""IELTS"",""B2"",""7"",""7"",""7"",""6"",""3 đến 3,5"",""Đã từng tham gia"",""Có ảnh hưởng"",""Hiện tại mình chưa thấy gặp bất kỳ khó khăn nào"""
"2023/10/02 2:40:23 CH GMT+7,""MAS"",""APTIS"",""B2"",""7"",""6"",""5"",""5"",""3 đến 3,5"",""Chưa từng tham gia"",""Có ảnh hưởng"",""Mình không nắm bắt được toàn bộ bài giảng"""
"2023/10/02 2:40:42 CH GMT+7,""HAT"",""VSTEP"",""B2"",""7"",""8"",""8"",""6"",""2,5 đến 3"",""Đã từng tham gia"",""Có ảnh hưởng"",""không có song ngữ để so sánh nội dung tiếp thu"""
"2023/10/02 2:49:46 CH GMT+7,""HAT"",""APTIS"",""C2"",""9"",""9"",""8"",""7"",""3 đến 3,5"",""Đã từng tham gia"",""Có ảnh hưởng"",""Tớ nghĩ là tùy môn học thì trình độ nói tiếng Anh của mỗi thầy cô cũng khác nhau, dẫn tới không phải thầy cô nào nói tiếng Anh tớ cũng hiểu và theo kịp."""
"2023/10/02 2:54:03 CH GMT+7,""MET"",""IELTS"",""B2"",""7"",""7"",""7"",""6"",""3 đến 3,5"",""Đã từng tham gia"",""Có ảnh hưởng"",""Mình không cảm thấy có những khó khăn nào"""
"2023/10/02 2:57:15 CH GMT+7,""MAC"",""VSTEP"",""B1"",""5"",""5"",""4"",""5"",""2,5 đến 3"",""Chưa từng tham gia"",""Có ảnh hưởng"",""Khó theo kịp bài giảng """
"2023/10/02 3:01:52 CH GMT+7,""MAS"",""IELTS"",""B2"",""6"",""7"",""7"",""6"",""2,5 đến 3"",""Chưa từng tham gia"",""Không ảnh hưởng"",""khong co"""
"2023/10/02 3:31:48 CH GMT+7,""MAS"",""APTIS"",""B2"",""5"",""4"",""5"",""4"",""2,5 đến 3"",""Chưa từng tham gia"",""Có ảnh hưởng"",""không"""
"2023/10/02 5:01:41 CH GMT+7,""MAS"",""APTIS"",""B2"",""3"",""5"",""6"",""4"",""3 đến 3,5"",""Chưa từng tham gia"",""Có ảnh hưởng"",""Do trình độ bản thân còn thấp, không tiếp thu hết được bài giảng"""
